v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.115228	0.076360	0.000053	9.999999	9.999999	0.00	0.01	11.00 !	0.00	2400	263.83	4.6649	1.0497
0.100	0.032	0.115063	0.074110	0.168277	9.999999	9.999999	15.53	30.29	20.00 !	8.53	2400	256.06	4.6582	1.0188
0.200	0.064	0.116647	0.076582	0.334353	7.426005	9.999999	30.46	50.47	11.00 !	17.07	2400	264.60	4.7224	1.0528
0.300	0.095	0.114120	0.078867	0.498588	3.228922	7.438309	43.41	64.47	0.00	25.60	2400	272.49	4.6201	1.0842
0.400	0.127	0.111499	0.081638	0.660209	1.774564	3.248274	54.63	73.95	0.00	34.14	2400	282.07	4.5140	1.1223
0.500	0.159	0.107145	0.083909	0.820746	1.091368	1.709372	63.85	80.63	0.00	42.67	2400	289.91	4.3377	1.1535
0.600	0.191	0.100611	0.085026	0.982293	0.711680	1.002390	71.00	85.52	0.00	51.21	2400	293.77	4.0732	1.1689
0.700	0.223	0.088914	0.081632	1.155383	0.462076	0.606048	76.24	89.49	0.00	59.74	2400	282.05	3.5996	1.1222
0.800	0.255	0.075671	0.075377	1.341660	0.301084	0.374893	80.31	92.52	0.00	68.28	2400	260.43	3.0635	1.0362
0.900	0.286	0.061932	0.066917	1.545735	0.194702	0.233749	83.30	94.79	0.00	76.81	2400	231.21	2.5073	0.9199
1.000	0.318	0.047737	0.056113	1.779045	0.121562	0.142891	85.07	96.53	0.00	85.34	2400	193.88	1.9326	0.7714
1.100	0.350	0.033117	0.042841	2.065476	0.069695	0.081964	85.03	97.90	0.00	93.88	2400	148.02	1.3407	0.5890
1.120	0.357	0.030147	0.039885	2.133320	0.061200	0.072293	84.66	98.13	0.00	95.59	2400	137.81	1.2205	0.5483
1.140	0.363	0.027159	0.036821	2.206402	0.053215	0.063289	84.08	98.36	0.00	97.29	2400	127.22	1.0995	0.5062
1.160	0.369	0.024156	0.033656	2.285843	0.045714	0.054907	83.26	98.57	0.00	99.00	2400	116.28	0.9780	0.4627
1.180	0.376	0.021133	0.030378	2.373399	0.038648	0.047082	82.09	98.78	0.00	100.71	2400	104.96	0.8555	0.4176
1.200	0.382	0.018099	0.027001	2.471187	0.032007	0.039790	80.44	98.98	0.00	102.41	2400	93.29	0.7327	0.3712
1.220	0.388	0.015050	0.023516	2.582774	0.025749	0.032978	78.08	99.17	0.00	104.12	2400	81.25	0.6093	0.3233
1.240	0.395	0.011968	0.019903	2.714166	0.019821	0.026583	74.56	99.36	0.00	105.83	2400	68.77	0.4845	0.2736
1.260	0.401	0.008864	0.016172	2.874866	0.014218	0.020587	69.06	99.53	0.00	107.53	2400	55.88	0.3589	0.2223
1.280	0.407	0.005777	0.012371	3.081251	0.008978	0.015022	59.77	99.70	0.00	109.24	2400	42.74	0.2339	0.1701
1.300	0.414	0.002663	0.008447	3.377549	0.004012	0.009791	40.98	99.87	0.00	110.95	2400	29.19	0.1078	0.1161
1.320	0.420	-0.000481	0.004392	3.908833	-0.000703	0.004862	0.00	99.99	0.00	112.65	2400	15.17	-0.0195	0.0604
1.340	0.427	-0.003666	0.000190	7.440152	-0.005198	0.000201	0.00	99.99	0.00	114.36	2400	0.65	-0.1484	0.0026
1.360	0.433	-0.006840	-0.004094	4.084269	-0.009417	-0.004144	0.41	51.59	0.00	116.07	2400	-14.14	-0.2769	-0.0563
