v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.139374	0.508192	0.000036	9.999999	9.999999	0.00	0.01	98.00 !	0.00	2400	1.7559	5.642	6.986
0.100	0.032	0.082193	0.285244	0.128516	9.999999	9.999999	2.88	34.82	98.00 !	8.53	2400	0.9855	3.328	3.921
0.200	0.064	0.086096	0.305782	0.253482	5.481029	9.999999	5.63	55.78	98.00 !	17.07	2400	1.0565	3.486	4.204
0.300	0.095	0.089875	0.327130	0.375126	2.542928	9.999999	8.24	68.59	89.00	25.60	2400	1.1303	3.639	4.497
0.400	0.127	0.094271	0.354645	0.492154	1.500365	9.999999	10.63	76.54	89.00	34.14	2400	1.2253	3.816	4.875
0.500	0.159	0.099194	0.378764	0.607151	1.010384	7.716107	13.09	81.66	89.00	42.67	2400	1.3087	4.016	5.207
0.600	0.191	0.105786	0.407165	0.718120	0.748283	4.800177	15.59	84.95	89.00	51.21	2400	1.4068	4.283	5.597
0.700	0.223	0.114304	0.440910	0.824571	0.594028	3.273374	18.15	87.09	89.00	59.74	2400	1.5234	4.628	6.061
0.800	0.255	0.122508	0.477393	0.927502	0.487446	2.374356	20.53	88.68	89.00	68.28	2400	1.6494	4.960	6.563
0.900	0.286	0.129589	0.511206	1.029256	0.407403	1.785701	22.81	89.95	89.00	76.81	2400	1.7663	5.246	7.028
1.000	0.318	0.136125	0.534836	1.133329	0.346640	1.361949	25.45	90.95	87.00	85.34	2400	1.8479	5.511	7.353
1.100	0.350	0.146564	0.539333	1.244575	0.308448	1.031856	29.89	91.53	87.00	93.88	2400	1.8635	5.934	7.414
1.200	0.382	0.157485	0.546366	1.354205	0.278494	0.805157	34.59	91.96	87.00	102.41	2400	1.8878	6.376	7.511
1.300	0.414	0.168558	0.557235	1.461288	0.253982	0.645875	39.32	92.30	85.00	110.95	2400	1.9253	6.824	7.661
1.400	0.446	0.179790	0.572429	1.565250	0.233587	0.531224	43.97	92.56	85.00	119.48	2400	1.9778	7.279	7.869
1.500	0.477	0.191315	0.592532	1.665517	0.216524	0.447072	48.43	92.76	85.00	128.02	2400	2.0473	7.745	8.146
1.600	0.509	0.202759	0.618456	1.761401	0.201688	0.384493	52.46	92.91	55.00	136.55	2400	2.1368	8.209	8.502
1.700	0.541	0.211734	0.648751	1.853674	0.186566	0.336257	55.48	93.11	0.00	145.08	2400	2.2415	8.572	8.919
1.800	0.573	0.218998	0.678145	1.945396	0.172121	0.296105	58.13	93.32	0.00	153.62	2400	2.3431	8.866	9.323
1.900	0.605	0.225172	0.706932	2.036470	0.158836	0.262456	60.52	93.52	0.00	162.15	2400	2.4425	9.116	9.718
2.000	0.637	0.230417	0.735129	2.126950	0.146688	0.233999	62.69	93.71	0.00	170.69	2400	2.5399	9.328	10.106
2.100	0.668	0.234862	0.762778	2.216867	0.135617	0.209740	64.66	93.89	0.00	179.22	2400	2.6355	9.508	10.486
2.200	0.700	0.238635	0.789942	2.306235	0.125554	0.188915	66.46	94.06	0.00	187.76	2400	2.7293	9.661	10.860
2.300	0.732	0.241837	0.816769	2.395014	0.116415	0.170945	68.10	94.21	0.00	196.29	2400	2.8220	9.791	11.228
2.400	0.764	0.244555	0.843388	2.483166	0.108117	0.155358	69.59	94.36	0.00	204.83	2400	2.9140	9.901	11.594
2.500	0.796	0.246853	0.869981	2.570621	0.100577	0.141785	70.94	94.50	0.00	213.36	2400	3.0059	9.994	11.960
2.600	0.828	0.248770	0.896716	2.657311	0.093711	0.129920	72.13	94.62	0.00	221.89	2400	3.0982	10.071	12.328
2.700	0.859	0.250323	0.923799	2.743142	0.087441	0.119516	73.16	94.74	0.00	230.43	2400	3.1918	10.134	12.700
2.800	0.891	0.251278	0.950848	2.828367	0.081617	0.110300	73.99	94.86	0.00	238.96	2400	3.2853	10.173	13.072
2.900	0.923	0.248970	0.968335	2.918723	0.075386	0.101105	74.56	95.03	0.00	247.50	2400	3.3457	10.079	13.312
3.000	0.955	0.242995	0.972884	3.016540	0.068754	0.091757	74.93	95.26	0.00	256.03	2400	3.3614	9.838	13.375
3.100	0.987	0.236458	0.974390	3.116127	0.062657	0.083289	75.23	95.48	0.00	264.57	2400	3.3666	9.573	13.395
3.200	1.019	0.229830	0.974568	3.216530	0.057154	0.075736	75.46	95.69	0.00	273.10	2400	3.3672	9.305	13.398
3.300	1.050	0.223102	0.973325	3.317893	0.052169	0.068969	75.64	95.89	0.00	281.64	2400	3.3629	9.032	13.381
3.400	1.082	0.216253	0.970490	3.420430	0.047637	0.062877	75.76	96.08	0.00	290.17	2400	3.3531	8.755	13.342
3.500	1.114	0.209341	0.966358	3.524037	0.043517	0.057395	75.82	96.26	0.00	298.70	2400	3.3389	8.475	13.285
3.600	1.146	0.202346	0.960865	3.628859	0.039758	0.052444	75.81	96.44	0.00	307.24	2400	3.3199	8.192	13.209
3.620	1.152	0.200933	0.959588	3.649990	0.039046	0.051511	75.80	96.48	0.00	308.95	2400	3.3155	8.135	13.192
3.640	1.159	0.199521	0.958269	3.671165	0.038346	0.050597	75.79	96.51	0.00	310.65	2400	3.3109	8.077	13.174
3.660	1.165	0.198107	0.956896	3.692395	0.037660	0.049701	75.77	96.54	0.00	312.36	2400	3.3062	8.020	13.155
3.680	1.171	0.196689	0.955477	3.713674	0.036985	0.048822	75.75	96.58	0.00	314.07	2400	3.3013	7.963	13.135
3.700	1.178	0.195267	0.953990	3.735020	0.036322	0.047960	75.73	96.61	0.00	315.77	2400	3.2961	7.905	13.115
3.720	1.184	0.193841	0.952454	3.756420	0.035670	0.047115	75.71	96.65	0.00	317.48	2400	3.2908	7.848	13.094
3.740	1.190	0.192413	0.950867	3.777875	0.035029	0.046286	75.68	96.68	0.00	319.19	2400	3.2853	7.790	13.072
3.760	1.197	0.190985	0.949238	3.799381	0.034400	0.045473	75.65	96.71	0.00	320.89	2400	3.2797	7.732	13.050
3.780	1.203	0.189550	0.947539	3.820959	0.033782	0.044675	75.62	96.74	0.00	322.60	2400	3.2738	7.674	13.026
3.800	1.210	0.188110	0.945756	3.842623	0.033173	0.043890	75.58	96.78	0.00	324.31	2400	3.2677	7.616	13.002
3.820	1.216	0.186670	0.943916	3.864352	0.032575	0.043120	75.54	96.81	0.00	326.01	2400	3.2613	7.557	12.976
3.840	1.222	0.185222	0.942008	3.886157	0.031987	0.042364	75.50	96.84	0.00	327.72	2400	3.2547	7.499	12.950
3.860	1.229	0.183771	0.940036	3.908034	0.031408	0.041622	75.46	96.87	0.00	329.43	2400	3.2479	7.440	12.923
3.880	1.235	0.182315	0.938010	3.929979	0.030839	0.040893	75.41	96.91	0.00	331.13	2400	3.2409	7.381	12.895
3.900	1.241	0.180855	0.935917	3.952002	0.030279	0.040178	75.36	96.94	0.00	332.84	2400	3.2337	7.322	12.866
3.920	1.248	0.179397	0.933785	3.974081	0.029729	0.039476	75.31	96.97	0.00	334.55	2400	3.2263	7.263	12.837
3.940	1.254	0.177934	0.931597	3.996231	0.029188	0.038786	75.25	97.00	0.00	336.26	2400	3.2188	7.204	12.807
