v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.112976	0.066088	0.000054	9.999999	9.999999	0.01	0.01	11.00 !	0.00	2400	228.34	4.5738	0.9085
0.100	0.032	0.113901	0.064370	0.173087	9.999999	9.999999	17.69	30.42	11.00 !	8.53	2400	222.40	4.6112	0.8849
0.200	0.064	0.113188	0.067711	0.342687	7.205777	9.999999	33.43	51.00	5.00 !	17.07	2400	233.95	4.5824	0.9309
0.300	0.095	0.108730	0.069632	0.511164	3.076427	6.567246	46.85	65.32	0.00	25.60	2400	240.58	4.4019	0.9573
0.400	0.127	0.104280	0.071822	0.677342	1.659673	2.857717	58.08	75.00	0.00	34.14	2400	248.15	4.2217	0.9874
0.500	0.159	0.097502	0.072928	0.844096	0.993143	1.485669	66.85	81.88	0.00	42.67	2400	251.97	3.9473	1.0026
0.600	0.191	0.086445	0.070719	1.019165	0.611476	0.833720	73.34	87.14	0.00	51.21	2400	244.34	3.4997	0.9722
0.700	0.223	0.073130	0.065370	1.207875	0.380048	0.485317	78.31	91.10	0.00	59.74	2400	225.86	2.9606	0.8987
0.800	0.255	0.059220	0.057841	1.414628	0.235629	0.287680	81.91	93.99	0.00	68.28	2400	199.85	2.3975	0.7952
0.900	0.286	0.044771	0.047964	1.652187	0.140750	0.167544	84.01	96.15	0.00	76.81	2400	165.72	1.8125	0.6594
1.000	0.318	0.029817	0.035586	1.948702	0.075928	0.090618	83.79	97.79	0.00	85.34	2400	122.95	1.2071	0.4892
1.020	0.325	0.026772	0.032801	2.020331	0.065526	0.078710	83.25	98.07	0.00	87.05	2400	113.33	1.0838	0.4509
1.040	0.331	0.023703	0.029905	2.098381	0.055804	0.067699	82.43	98.34	0.00	88.76	2400	103.33	0.9596	0.4111
1.060	0.337	0.020621	0.026908	2.184384	0.046735	0.057532	81.23	98.60	0.00	90.46	2400	92.97	0.8348	0.3699
1.080	0.344	0.017495	0.023775	2.281397	0.038195	0.048060	79.47	98.84	0.00	92.17	2400	82.14	0.7083	0.3268
1.100	0.350	0.014402	0.020588	2.391496	0.030310	0.039389	76.95	99.07	0.00	93.88	2400	71.13	0.5831	0.2830
1.120	0.357	0.011240	0.017236	2.523090	0.022818	0.031240	73.04	99.29	0.00	95.59	2400	59.55	0.4551	0.2369
1.140	0.363	0.008081	0.013795	2.685099	0.015835	0.023711	66.78	99.50	0.00	97.29	2400	47.66	0.3272	0.1896
1.160	0.369	0.004922	0.010263	2.898699	0.009314	0.016743	55.63	99.70	0.00	99.00	2400	35.46	0.1993	0.1411
1.180	0.376	0.001688	0.006552	3.225576	0.003087	0.010155	30.40	99.90	0.00	100.71	2400	22.64	0.0683	0.0901
1.200	0.382	-0.001510	0.002790	3.890871	-0.002670	0.004112	0.00	99.99	0.00	102.41	2400	9.64	-0.0611	0.0384
1.220	0.388	-0.004703	-0.001059	4.801858	-0.008045	-0.001485	0.15	52.60	0.00	104.12	2400	-3.66	-0.1904	-0.0146
