v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.086749	0.328068	0.000039	9.999999	9.999999	0.00	0.01	98.00 !	0.00	2400	1.1335	3.5120	4.5101
0.100	0.032	0.053189	0.175421	0.141639	9.999999	9.999999	3.03	41.26	98.00 !	8.53	2400	0.6061	2.1533	2.4116
0.200	0.064	0.055564	0.189260	0.279009	3.537325	9.999999	5.87	63.44	98.00	17.07	2400	0.6539	2.2495	2.6018
0.300	0.095	0.058608	0.206606	0.411237	1.658275	9.999999	8.51	75.46	89.00	25.60	2400	0.7138	2.3727	2.8403
0.400	0.127	0.058803	0.217339	0.542791	0.935874	8.647638	10.82	83.00	89.00	34.14	2400	0.7509	2.3806	2.9878
0.500	0.159	0.059586	0.229420	0.671187	0.606935	4.673713	12.99	87.52	89.00	42.67	2400	0.7927	2.4123	3.1539
0.600	0.191	0.062500	0.244971	0.794929	0.442094	2.888022	15.31	90.14	89.00	51.21	2400	0.8464	2.5303	3.3677
0.700	0.223	0.069190	0.267010	0.911575	0.359575	1.982319	18.14	91.51	89.00	59.74	2400	0.9225	2.8011	3.6707
0.800	0.255	0.075497	0.291290	1.023823	0.300394	1.448760	20.73	92.53	87.00	68.28	2400	1.0064	3.0565	4.0045
0.900	0.286	0.080636	0.317037	1.132454	0.253504	1.107446	22.89	93.38	87.00	76.81	2400	1.0954	3.2645	4.3584
1.000	0.318	0.085765	0.343031	1.238606	0.218399	0.873521	25.00	94.01	87.00	85.34	2400	1.1852	3.4721	4.7158
1.100	0.350	0.091957	0.361139	1.348522	0.193525	0.690933	28.01	94.45	85.00	93.88	2400	1.2478	3.7228	4.9647
1.200	0.382	0.098705	0.364328	1.468529	0.174548	0.536895	32.51	94.76	85.00	102.41	2400	1.2588	3.9960	5.0086
1.300	0.414	0.105479	0.370016	1.585986	0.158934	0.428874	37.06	95.00	85.00	110.95	2400	1.2784	4.2702	5.0868
1.400	0.446	0.112216	0.378442	1.700310	0.145794	0.351201	41.51	95.20	83.00	119.48	2400	1.3076	4.5430	5.2026
1.500	0.477	0.118746	0.389641	1.811166	0.134393	0.293989	45.71	95.36	77.00	128.02	2400	1.3462	4.8073	5.3566
1.600	0.509	0.124914	0.403505	1.918449	0.124254	0.250859	49.53	95.51	69.00	136.55	2400	1.3942	5.0571	5.5471
1.700	0.541	0.130577	0.419649	2.022422	0.115056	0.217510	52.90	95.64	59.00	145.08	2400	1.4499	5.2863	5.7691
1.800	0.573	0.135528	0.437538	2.123583	0.106518	0.191046	55.76	95.77	47.00	153.62	2400	1.5117	5.4868	6.0150
1.900	0.605	0.139788	0.456385	2.222733	0.098606	0.169438	58.20	95.89	40.00	162.15	2400	1.5769	5.6592	6.2741
2.000	0.637	0.143448	0.475600	2.320501	0.091322	0.151388	60.32	96.01	33.00	170.69	2400	1.6432	5.8074	6.5383
2.100	0.668	0.146698	0.495130	2.416993	0.084708	0.136145	62.22	96.11	25.00	179.22	2400	1.7107	5.9390	6.8068
2.200	0.700	0.149611	0.515042	2.512199	0.078715	0.123173	63.91	96.21	17.00	187.76	2400	1.7795	6.0569	7.0805
2.300	0.732	0.152283	0.535431	2.606076	0.073306	0.112062	65.41	96.30	17.00	196.29	2400	1.8500	6.1651	7.3608
2.400	0.764	0.155226	0.555675	2.699275	0.068625	0.102359	67.04	96.37	9.00	204.83	2400	1.9199	6.2842	7.6391
2.500	0.796	0.160302	0.570000	2.797467	0.065313	0.092896	70.31	96.38	0.00	213.36	2400	1.9694	6.4897	7.8360
