v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.116656	0.113967	0.000049	9.999999	9.999999	0.00	0.01	24.00 !	0.00	2400	393.77	4.7227	1.5667
0.100	0.032	0.107452	0.109118	0.155747	9.999999	9.999999	9.85	31.18	98.00 !	8.53	2400	377.01	4.3501	1.5001
0.200	0.064	0.112661	0.111519	0.310142	7.172192	9.999999	20.20	51.08	89.00 !	17.07	2400	385.31	4.5610	1.5331
0.300	0.095	0.116673	0.114439	0.462814	3.301161	9.999999	30.59	64.08	63.00	25.60	2400	395.40	4.7234	1.5732
0.400	0.127	0.118662	0.117530	0.613804	1.888559	4.676382	40.39	72.95	14.00	34.14	2400	406.08	4.8039	1.6157
0.500	0.159	0.120879	0.118741	0.765685	1.231264	2.418966	50.90	78.95	0.00	42.67	2400	410.26	4.8937	1.6324
0.600	0.191	0.121238	0.120583	0.915997	0.857580	1.421580	60.33	83.32	0.00	51.21	2400	416.63	4.9082	1.6577
0.700	0.223	0.119270	0.124162	1.062430	0.619832	0.921796	67.24	86.65	0.00	59.74	2400	428.99	4.8286	1.7069
0.800	0.255	0.115833	0.126925	1.208872	0.460886	0.631275	73.01	89.20	0.00	68.28	2400	438.54	4.6894	1.7449
0.900	0.286	0.110537	0.128384	1.356876	0.347507	0.448460	77.49	91.24	0.00	76.81	2400	443.58	4.4750	1.7649
1.000	0.318	0.099673	0.123600	1.519134	0.253816	0.314746	80.64	93.14	0.00	85.34	2400	427.05	4.0352	1.6992
1.100	0.350	0.087356	0.115588	1.693598	0.183842	0.221144	83.13	94.70	0.00	93.88	2400	399.37	3.5365	1.5890
1.200	0.382	0.074761	0.105474	1.881707	0.132206	0.155433	85.06	95.96	0.00	102.41	2400	364.42	3.0267	1.4500
1.300	0.414	0.061892	0.093166	2.089740	0.093259	0.107985	86.36	96.99	0.00	110.95	2400	321.90	2.5057	1.2808
1.400	0.446	0.048757	0.078586	2.328407	0.063346	0.072929	86.86	97.85	0.00	119.48	2400	271.52	1.9739	1.0804
1.500	0.477	0.035354	0.061657	2.618751	0.040013	0.046521	86.01	98.57	0.00	128.02	2400	213.03	1.4313	0.8476
1.520	0.484	0.032644	0.057987	2.686438	0.035980	0.042048	85.57	98.70	0.00	129.72	2400	200.35	1.3216	0.7972
1.540	0.490	0.029923	0.054220	2.758601	0.032130	0.037804	84.99	98.83	0.00	131.43	2400	187.34	1.2114	0.7454
1.560	0.497	0.027189	0.050351	2.836105	0.028450	0.033774	84.24	98.95	0.00	133.14	2400	173.97	1.1007	0.6922
1.580	0.503	0.024449	0.046392	2.919902	0.024940	0.029951	83.27	99.07	0.00	134.84	2400	160.29	0.9898	0.6378
1.600	0.509	0.021695	0.042327	3.011594	0.021580	0.026315	82.01	99.19	0.00	136.55	2400	146.24	0.8783	0.5819
1.620	0.516	0.018930	0.038163	3.113049	0.018368	0.022858	80.36	99.30	0.00	138.26	2400	131.86	0.7664	0.5246
1.640	0.522	0.016155	0.033901	3.227020	0.015296	0.019571	78.15	99.41	0.00	139.96	2400	117.13	0.6540	0.4660
1.660	0.528	0.013369	0.029536	3.357657	0.012355	0.016443	75.14	99.52	0.00	141.67	2400	102.05	0.5412	0.4061
1.680	0.535	0.010577	0.025079	3.511132	0.009543	0.013469	70.85	99.63	0.00	143.38	2400	86.65	0.4282	0.3448
1.700	0.541	0.007786	0.020540	3.697688	0.006860	0.010646	64.44	99.73	0.00	145.08	2400	70.97	0.3152	0.2824
1.720	0.547	0.004935	0.015814	3.942008	0.004248	0.007914	53.67	99.83	0.00	146.79	2400	54.64	0.1998	0.2174
1.740	0.554	0.002118	0.011061	4.283416	0.001781	0.005347	33.31	99.93	0.00	148.50	2400	38.22	0.0857	0.1521
1.760	0.560	-0.000755	0.006129	4.875742	-0.000620	0.002863	0.00	99.99	0.00	150.21	2400	21.17	-0.0306	0.0843
1.780	0.567	-0.003659	0.001053	7.013618	-0.002940	0.000475	0.00	99.99	0.00	151.91	2400	3.64	-0.1481	0.0145
1.800	0.573	-0.006558	-0.004103	5.403138	-0.005154	-0.001792	0.18	48.48	0.00	153.62	2400	-14.18	-0.2655	-0.0564
