v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
4.700	1.496	0.118948	1.833875	4.163168	0.013712	0.044980	30.48	98.13	53.00	401.12	2400	6.336	4.8155	25.211
4.800	1.528	0.122471	1.889136	4.226575	0.013536	0.043499	31.12	98.09	53.00	409.65	2400	6.527	4.9582	25.971
4.900	1.560	0.125924	1.945494	4.289336	0.013355	0.042110	31.72	98.05	53.00	418.19	2400	6.722	5.0980	26.745
5.000	1.592	0.128959	2.002858	4.351510	0.013136	0.040802	32.19	98.02	47.00	426.72	2400	6.920	5.2208	27.534
5.100	1.623	0.132111	2.061230	4.413111	0.012934	0.039569	32.69	97.98	47.00	435.25	2400	7.122	5.3484	28.337
5.200	1.655	0.135196	2.120585	4.474167	0.012732	0.038405	33.15	97.95	47.00	443.79	2400	7.327	5.4733	29.153
5.300	1.687	0.138211	2.181062	4.534634	0.012529	0.037306	33.59	97.91	47.00	452.32	2400	7.536	5.5954	29.984
5.400	1.719	0.140893	2.241986	4.594806	0.012304	0.036257	33.94	97.88	47.00	460.86	2400	7.746	5.7040	30.821
5.500	1.751	0.143627	2.303529	4.654617	0.012091	0.035257	34.29	97.85	47.00	469.39	2400	7.959	5.8146	31.668
5.600	1.783	0.146308	2.366022	4.713942	0.011880	0.034308	34.63	97.82	40.00	477.93	2400	8.175	5.9232	32.527
5.700	1.814	0.148942	2.429416	4.772814	0.011674	0.033405	34.95	97.79	40.00	486.46	2400	8.394	6.0298	33.398
5.800	1.846	0.151530	2.493734	4.831233	0.011471	0.032547	35.24	97.77	40.00	495.00	2400	8.616	6.1346	34.282
5.900	1.878	0.153531	2.559046	4.889184	0.011231	0.031729	35.40	97.75	40.00	503.53	2400	8.842	6.2156	35.180
6.000	1.910	0.155650	2.624665	4.946938	0.011010	0.030943	35.58	97.72	40.00	512.06	2400	9.068	6.3014	36.082
