v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.165799	0.062836	0.000055	9.999999	9.999999	0.01	0.01	5.00 !	0.00	2400	217.11	6.712	0.8638
0.050	0.016	0.166470	0.050305	0.090918	9.999999	9.999999	16.55	13.92	20.00 !	4.27	2400	173.81	6.739	0.6916
0.100	0.032	0.137657	0.068857	0.170770	9.999999	9.999999	19.99	28.05	5.00 !	8.53	2400	237.91	5.573	0.9466
0.150	0.048	0.132858	0.069422	0.255736	9.999999	9.999999	28.71	39.28	3.00 !	12.80	2400	239.86	5.379	0.9544
0.200	0.064	0.127182	0.069480	0.340924	8.096651	9.999999	36.61	48.98	1.00 !	17.07	2400	240.06	5.149	0.9552
0.250	0.080	0.119299	0.068210	0.427731	4.860690	9.999999	43.73	57.56	0.00	21.34	2400	235.67	4.830	0.9377
0.300	0.095	0.112702	0.067355	0.514573	3.188821	6.352564	50.20	64.69	0.00	25.60	2400	232.72	4.563	0.9260
0.350	0.111	0.105551	0.066000	0.602780	2.194151	3.919960	55.97	70.78	0.00	29.87	2400	228.04	4.273	0.9073
0.400	0.127	0.097895	0.064111	0.692904	1.558048	2.550901	61.08	75.97	0.00	34.14	2400	221.51	3.963	0.8814
0.450	0.143	0.089499	0.061516	0.785985	1.125466	1.719070	65.47	80.43	0.00	38.40	2400	212.55	3.623	0.8457
0.500	0.159	0.080435	0.058143	0.883223	0.819305	1.184482	69.17	84.27	0.00	42.67	2400	200.89	3.256	0.7993
0.550	0.175	0.071070	0.054122	0.985571	0.598278	0.828373	72.22	87.52	0.00	46.94	2400	187.00	2.877	0.7440
0.600	0.191	0.061323	0.049366	1.095129	0.433773	0.581991	74.53	90.30	0.00	51.21	2400	170.57	2.483	0.6787
0.650	0.207	0.051417	0.043947	1.214302	0.309900	0.407506	76.05	92.64	0.00	55.47	2400	151.84	2.082	0.6042
0.700	0.223	0.041308	0.037812	1.347637	0.214674	0.280719	76.47	94.63	0.00	59.74	2400	130.64	1.672	0.5198
0.750	0.239	0.030897	0.030859	1.503782	0.139871	0.186268	75.09	96.34	0.00	64.01	2400	106.62	1.251	0.4242
0.760	0.242	0.028783	0.029370	1.538980	0.126898	0.170374	74.48	96.65	0.00	64.86	2400	101.48	1.165	0.4038
0.770	0.245	0.026659	0.027847	1.575925	0.114501	0.155326	73.72	96.96	0.00	65.71	2400	96.21	1.079	0.3828
0.780	0.248	0.024520	0.026286	1.614915	0.102629	0.141052	72.76	97.25	0.00	66.57	2400	90.82	0.993	0.3614
0.790	0.251	0.022376	0.024695	1.656170	0.091300	0.127547	71.58	97.53	0.00	67.42	2400	85.32	0.906	0.3395
0.800	0.255	0.020220	0.023068	1.700158	0.080451	0.114729	70.12	97.81	0.00	68.28	2400	79.70	0.819	0.3171
0.810	0.258	0.018057	0.021408	1.747302	0.070084	0.102582	68.32	98.08	0.00	69.13	2400	73.97	0.731	0.2943
0.820	0.261	0.015868	0.019701	1.798525	0.060096	0.090988	66.05	98.34	0.00	69.98	2400	68.07	0.642	0.2708
0.830	0.264	0.013667	0.017955	1.854566	0.050518	0.079962	63.18	98.59	0.00	70.84	2400	62.04	0.553	0.2468
0.840	0.267	0.011475	0.016189	1.916169	0.041412	0.069555	59.54	98.84	0.00	71.69	2400	55.94	0.465	0.2226
0.850	0.271	0.009227	0.014349	1.986352	0.032521	0.059497	54.66	99.08	0.00	72.54	2400	49.58	0.374	0.1973
0.860	0.274	0.007062	0.012550	2.064288	0.024316	0.050244	48.40	99.31	0.00	73.40	2400	43.36	0.286	0.1725
0.870	0.277	0.004798	0.010638	2.158463	0.016143	0.041139	39.24	99.54	0.00	74.25	2400	36.76	0.194	0.1462
0.880	0.280	0.002562	0.008721	2.271798	0.008423	0.032588	25.85	99.76	0.00	75.10	2400	30.13	0.104	0.1199
0.890	0.283	0.000311	0.006762	2.417524	0.000999	0.024427	4.09	99.97	0.00	75.96	2400	23.36	0.013	0.0930
0.900	0.286	-0.001980	0.004739	2.624821	-0.006224	0.016555	0.00	99.99	0.00	76.81	2400	16.37	-0.080	0.0652
0.910	0.290	-0.004215	0.002737	2.962098	-0.012960	0.009248	0.00	99.99	0.00	77.66	2400	9.46	-0.171	0.0376
0.920	0.293	-0.006500	0.000659	3.980625	-0.019555	0.002157	0.00	99.99	0.00	78.52	2400	2.28	-0.263	0.0091
0.930	0.296	-0.008794	-0.001456	3.434547	-0.025892	-0.004608	0.46	54.69	0.00	79.37	2400	-5.03	-0.356	-0.0200
