v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.040660	0.486487	0.000036	9.999999	9.999999	0.00	0.02	98.00 !	0.00	2400	1.681	1.6461	6.688
0.100	0.032	0.022488	0.166124	0.143190	5.726541	9.999999	1.35	55.49	98.00 !	8.53	2400	0.574	0.9104	2.284
0.200	0.064	0.026475	0.189793	0.278852	1.685478	9.999999	2.79	75.53	98.00	17.07	2400	0.656	1.0718	2.609
0.300	0.095	0.029257	0.205790	0.411563	0.827809	9.999999	4.27	84.71	98.00	25.60	2400	0.711	1.1845	2.829
0.400	0.127	0.031337	0.220510	0.541221	0.498751	8.773807	5.68	89.56	98.00	34.14	2400	0.762	1.2687	3.031
0.500	0.159	0.032866	0.235015	0.667961	0.334766	4.787683	6.99	92.40	98.00	42.67	2400	0.812	1.3305	3.231
0.600	0.191	0.034115	0.249831	0.791812	0.241314	2.945318	8.19	94.18	98.00	51.21	2400	0.863	1.3811	3.435
0.700	0.223	0.034960	0.265208	0.912811	0.181685	1.968941	9.23	95.40	98.00	59.74	2400	0.916	1.4153	3.646
0.800	0.255	0.035490	0.281026	1.031194	0.141208	1.397711	10.10	96.26	97.00	68.28	2400	0.971	1.4368	3.863
0.900	0.286	0.035607	0.297744	1.146764	0.111941	1.040052	10.76	96.90	97.00	76.81	2400	1.029	1.4415	4.093
1.000	0.318	0.035872	0.315148	1.259787	0.091348	0.802518	11.38	97.36	97.00	85.34	2400	1.089	1.4523	4.332
1.100	0.350	0.035611	0.333443	1.370214	0.074944	0.637945	11.75	97.74	95.00	93.88	2400	1.152	1.4417	4.584
1.200	0.382	0.035529	0.352787	1.478014	0.062829	0.519887	12.09	98.03	95.00	102.41	2400	1.219	1.4384	4.850
1.300	0.414	0.035330	0.373102	1.583353	0.053235	0.432452	12.31	98.25	95.00	110.95	2400	1.289	1.4303	5.129
1.400	0.446	0.034962	0.394525	1.686216	0.045423	0.366126	12.41	98.44	95.00	119.48	2400	1.363	1.4154	5.424
1.500	0.477	0.035405	0.418125	1.785788	0.040071	0.315481	12.70	98.57	92.00	128.02	2400	1.445	1.4334	5.748
1.600	0.509	0.038071	0.449195	1.877729	0.037870	0.279264	13.56	98.58	92.00	136.55	2400	1.552	1.5413	6.175
1.700	0.541	0.042773	0.486422	1.963569	0.037688	0.252120	14.95	98.53	92.00	145.08	2400	1.681	1.7316	6.687
1.800	0.573	0.047785	0.526298	2.046568	0.037557	0.229802	16.34	98.47	80.00	153.62	2400	1.818	1.9346	7.235
1.900	0.605	0.051418	0.566132	2.128973	0.036270	0.210183	17.26	98.45	80.00	162.15	2400	1.956	2.0816	7.783
2.000	0.637	0.055099	0.606403	2.210435	0.035077	0.193024	18.17	98.43	80.00	170.69	2400	2.095	2.2307	8.336
2.100	0.668	0.058253	0.648221	2.290207	0.033637	0.178240	18.87	98.43	80.00	179.22	2400	2.240	2.3583	8.911
2.200	0.700	0.061259	0.690609	2.369061	0.032230	0.165160	19.51	98.42	77.00	187.76	2400	2.386	2.4800	9.494
2.300	0.732	0.065106	0.730902	2.448815	0.031341	0.152973	20.49	98.40	77.00	196.29	2400	2.525	2.6358	10.048
2.400	0.764	0.069851	0.768314	2.529901	0.030881	0.141529	21.82	98.35	77.00	204.83	2400	2.655	2.8279	10.562
2.500	0.796	0.075350	0.801884	2.612870	0.030700	0.130687	23.49	98.28	77.00	213.36	2400	2.771	3.0505	11.024
2.600	0.828	0.081549	0.829330	2.699155	0.030719	0.120157	25.57	98.20	77.00	221.89	2400	2.865	3.3014	11.401
2.700	0.859	0.087522	0.857387	2.784380	0.030573	0.110924	27.56	98.13	73.00	230.43	2400	2.962	3.5433	11.787
2.800	0.891	0.093464	0.887082	2.867908	0.030358	0.102903	29.50	98.06	73.00	238.96	2400	3.065	3.7838	12.195
2.900	0.923	0.099313	0.918471	2.949748	0.030071	0.095898	31.36	97.99	73.00	247.50	2400	3.173	4.0206	12.627
3.000	0.955	0.105074	0.951588	3.029922	0.029730	0.089748	33.13	97.92	73.00	256.03	2400	3.288	4.2539	13.082
3.100	0.987	0.110570	0.986341	3.108539	0.029299	0.084311	34.75	97.86	69.00	264.57	2400	3.408	4.4764	13.560
3.200	1.019	0.115986	1.022375	3.185869	0.028843	0.079451	36.30	97.80	69.00	273.10	2400	3.532	4.6956	14.055
3.300	1.050	0.121331	1.060037	3.261743	0.028371	0.075114	37.77	97.75	69.00	281.64	2400	3.663	4.9120	14.573
3.400	1.082	0.126615	1.099370	3.336185	0.027891	0.071227	39.16	97.69	69.00	290.17	2400	3.798	5.1259	15.113
3.500	1.114	0.131849	1.140436	3.409211	0.027408	0.067734	40.46	97.63	69.00	298.70	2400	3.940	5.3378	15.678
3.600	1.146	0.136569	1.183144	3.480927	0.026834	0.064576	41.55	97.59	59.00	307.24	2400	4.088	5.5289	16.265
3.700	1.178	0.140845	1.227038	3.551650	0.026199	0.061687	42.47	97.55	47.00	315.77	2400	4.240	5.7020	16.869
3.800	1.210	0.144808	1.271877	3.621551	0.025537	0.059025	43.26	97.51	47.00	324.31	2400	4.394	5.8625	17.485
3.900	1.241	0.148555	1.317481	3.690760	0.024871	0.056558	43.98	97.48	40.00	332.84	2400	4.552	6.0142	18.112
4.000	1.273	0.152101	1.363730	3.759364	0.024208	0.054261	44.61	97.45	40.00	341.38	2400	4.712	6.1577	18.748
4.100	1.305	0.155506	1.410595	3.827396	0.023557	0.052118	45.20	97.42	33.00	349.91	2400	4.874	6.2956	19.392
4.200	1.337	0.158761	1.457797	3.895022	0.022918	0.050106	45.74	97.40	33.00	358.44	2400	5.037	6.4273	20.041
4.300	1.369	0.161901	1.505616	3.962102	0.022297	0.048222	46.24	97.37	25.00	366.98	2400	5.202	6.5545	20.698
4.400	1.401	0.164932	1.554167	4.028591	0.021694	0.046460	46.69	97.35	25.00	375.51	2400	5.370	6.6772	21.366
4.500	1.432	0.167868	1.603469	4.094495	0.021110	0.044809	47.11	97.32	25.00	384.05	2400	5.540	6.7960	22.044
4.600	1.464	0.170717	1.653557	4.159815	0.020545	0.043260	47.49	97.30	17.00	392.58	2400	5.713	6.9114	22.732
4.700	1.496	0.173490	1.704443	4.224559	0.019999	0.041805	47.84	97.28	17.00	401.12	2400	5.889	7.0236	23.432
4.800	1.528	0.176191	1.756216	4.288700	0.019473	0.040438	48.16	97.26	9.00	409.65	2400	6.068	7.1330	24.143
4.900	1.560	0.178831	1.808818	4.352283	0.018967	0.039151	48.44	97.23	9.00	418.19	2400	6.250	7.2398	24.867
5.000	1.592	0.181418	1.862324	4.415287	0.018479	0.037939	48.71	97.21	0.00	426.72	2400	6.435	7.3446	25.602
5.100	1.623	0.185522	1.915644	4.478238	0.018163	0.036774	49.39	97.17	0.00	435.25	2400	6.619	7.5108	26.335
5.200	1.655	0.191781	1.967064	4.541922	0.018061	0.035624	50.70	97.09	0.00	443.79	2400	6.796	7.7641	27.042
5.300	1.687	0.199471	2.015869	4.606631	0.018083	0.034481	52.44	96.99	0.00	452.32	2400	6.965	8.0755	27.713
5.400	1.719	0.201824	2.070099	4.668695	0.017625	0.033477	52.65	96.97	0.00	460.86	2400	7.152	8.1707	28.458
5.500	1.751	0.204006	2.124027	4.730757	0.017173	0.032510	52.83	96.95	0.00	469.39	2400	7.339	8.2590	29.200
5.600	1.783	0.206029	2.177786	4.792752	0.016730	0.031578	52.98	96.94	0.00	477.93	2400	7.524	8.3410	29.939
5.700	1.814	0.207911	2.231361	4.854683	0.016295	0.030682	53.11	96.92	0.00	486.46	2400	7.710	8.4171	30.675
5.800	1.846	0.209664	2.284860	4.916501	0.015871	0.029821	53.22	96.91	0.00	495.00	2400	7.894	8.4881	31.411
5.900	1.878	0.211298	2.338295	4.978198	0.015457	0.028992	53.31	96.90	0.00	503.53	2400	8.079	8.5543	32.145
6.000	1.910	0.212819	2.391762	5.039734	0.015054	0.028197	53.39	96.89	0.00	512.06	2400	8.264	8.6159	32.881
6.100	1.942	0.214237	2.445199	5.101137	0.014661	0.027432	53.45	96.88	0.00	520.60	2400	8.448	8.6733	33.615
6.200	1.974	0.215558	2.498803	5.162324	0.014280	0.026699	53.48	96.87	0.00	529.13	2400	8.634	8.7267	34.352
6.300	2.005	0.216792	2.552523	5.223320	0.013909	0.025995	53.51	96.87	0.00	537.67	2400	8.819	8.7767	35.091
6.400	2.037	0.217936	2.606485	5.284074	0.013549	0.025320	53.51	96.86	0.00	546.20	2400	9.006	8.8230	35.832
6.500	2.069	0.219000	2.660675	5.344597	0.013199	0.024671	53.50	96.86	0.00	554.74	2400	9.193	8.8661	36.577
6.520	2.075	0.219202	2.671553	5.356669	0.013131	0.024545	53.50	96.86	0.00	556.44	2400	9.230	8.8742	36.727
6.540	2.082	0.219401	2.682445	5.368730	0.013062	0.024420	53.49	96.85	0.00	558.15	2400	9.268	8.8823	36.877
6.560	2.088	0.219596	2.693379	5.380769	0.012994	0.024296	53.48	96.85	0.00	559.86	2400	9.306	8.8902	37.027
6.580	2.094	0.219791	2.704259	5.392824	0.012927	0.024172	53.48	96.85	0.00	561.56	2400	9.343	8.8981	37.177
6.600	2.101	0.219980	2.715189	5.404854	0.012860	0.024050	53.47	96.85	0.00	563.27	2400	9.381	8.9058	37.327
6.620	2.107	0.220167	2.726133	5.416872	0.012793	0.023928	53.46	96.85	0.00	564.98	2400	9.419	8.9133	37.477
6.640	2.114	0.220347	2.737088	5.428881	0.012727	0.023808	53.45	96.85	0.00	566.68	2400	9.457	8.9206	37.628
6.660	2.120	0.220520	2.747912	5.440937	0.012660	0.023688	53.45	96.85	0.00	568.39	2400	9.494	8.9276	37.777
6.680	2.126	0.220689	2.758697	5.453002	0.012594	0.023568	53.44	96.85	0.00	570.10	2400	9.532	8.9345	37.925
6.700	2.133	0.220859	2.769510	5.465051	0.012529	0.023449	53.43	96.85	0.00	571.80	2400	9.569	8.9413	38.074
6.720	2.139	0.221022	2.780377	5.477073	0.012463	0.023331	53.42	96.85	0.00	573.51	2400	9.606	8.9480	38.223
6.740	2.145	0.221185	2.791214	5.489101	0.012399	0.023214	53.41	96.85	0.00	575.22	2400	9.644	8.9545	38.372
6.760	2.152	0.221344	2.802099	5.501106	0.012334	0.023098	53.40	96.85	0.00	576.93	2400	9.682	8.9610	38.522
6.780	2.158	0.221500	2.812964	5.513113	0.012270	0.022983	53.39	96.85	0.00	578.63	2400	9.719	8.9673	38.671
6.800	2.165	0.221655	2.823843	5.525108	0.012207	0.022869	53.38	96.85	0.00	580.34	2400	9.757	8.9736	38.821
6.820	2.171	0.221806	2.834768	5.537081	0.012143	0.022756	53.36	96.85	0.00	582.05	2400	9.794	8.9797	38.971
6.840	2.177	0.221953	2.845697	5.549047	0.012081	0.022644	53.35	96.85	0.00	583.75	2400	9.832	8.9856	39.121
6.860	2.184	0.222096	2.856693	5.560981	0.012018	0.022534	53.33	96.84	0.00	585.46	2400	9.870	8.9914	39.272
6.880	2.190	0.222240	2.867633	5.572932	0.011956	0.022423	53.32	96.84	0.00	587.17	2400	9.908	8.9973	39.423
6.900	2.196	0.222378	2.878660	5.584844	0.011894	0.022314	53.30	96.84	0.00	588.87	2400	9.946	9.0028	39.574
6.920	2.203	0.222513	2.889705	5.596743	0.011833	0.022206	53.29	96.84	0.00	590.58	2400	9.984	9.0083	39.726
6.940	2.209	0.222627	2.900548	5.608716	0.011771	0.022097	53.27	96.84	0.00	592.29	2400	10.022	9.0129	39.875
6.960	2.215	0.222734	2.911477	5.620650	0.011709	0.021990	53.25	96.84	0.00	593.99	2400	10.059	9.0173	40.025
6.980	2.222	0.222835	2.922354	5.632599	0.011647	0.021883	53.22	96.84	0.00	595.70	2400	10.097	9.0213	40.175
7.000	2.228	0.222906	2.932977	5.644641	0.011584	0.021775	53.20	96.84	0.00	597.41	2400	10.134	9.0242	40.321
7.020	2.235	0.222964	2.943600	5.656677	0.011521	0.021667	53.17	96.85	0.00	599.11	2400	10.170	9.0266	40.467
7.040	2.241	0.223022	2.954186	5.668721	0.011459	0.021561	53.15	96.85	0.00	600.82	2400	10.207	9.0289	40.612
7.060	2.247	0.223069	2.964826	5.680739	0.011396	0.021455	53.12	96.85	0.00	602.53	2400	10.244	9.0308	40.759
7.080	2.254	0.223117	2.975418	5.692770	0.011335	0.021350	53.09	96.85	0.00	604.24	2400	10.280	9.0328	40.904
7.100	2.260	0.223162	2.986047	5.704782	0.011273	0.021245	53.06	96.85	0.00	605.94	2400	10.317	9.0346	41.050
7.120	2.266	0.223205	2.996716	5.716772	0.011212	0.021142	53.03	96.85	0.00	607.65	2400	10.354	9.0363	41.197
7.140	2.273	0.223245	3.007357	5.728768	0.011151	0.021039	53.00	96.85	0.00	609.36	2400	10.391	9.0379	41.343
7.160	2.279	0.223277	3.018074	5.740729	0.011091	0.020938	52.97	96.85	0.00	611.06	2400	10.428	9.0392	41.491
7.180	2.285	0.223316	3.028697	5.752720	0.011031	0.020836	52.94	96.85	0.00	612.77	2400	10.464	9.0408	41.637
7.200	2.292	0.223349	3.039375	5.764686	0.010971	0.020736	52.91	96.85	0.00	614.48	2400	10.501	9.0421	41.784
