v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.106116	0.047576	0.000058	9.999999	9.999999	0.01	0.01	5.00 !	0.00	2400	164.38	4.2960	0.6540
0.050	0.016	0.105759	0.038079	0.096124	9.999999	9.999999	13.89	17.26	24.00 !	4.27	2400	131.57	4.2816	0.5235
0.100	0.032	0.104045	0.048855	0.182902	9.999999	9.999999	21.30	31.60	5.00 !	8.53	2400	168.80	4.2122	0.6716
0.150	0.048	0.102037	0.050164	0.272906	9.999999	9.999999	30.51	43.45	1.00 !	12.80	2400	173.32	4.1309	0.6896
0.200	0.064	0.099121	0.051175	0.362425	6.310264	9.999999	38.74	53.31	0.00 !	17.07	2400	176.82	4.0129	0.7035
0.250	0.080	0.094851	0.051393	0.452646	3.864594	8.375778	46.14	61.63	0.00	21.34	2400	177.57	3.8400	0.7065
0.300	0.095	0.091284	0.051894	0.542124	2.582811	4.894290	52.77	68.32	0.00	25.60	2400	179.30	3.6956	0.7134
0.350	0.111	0.086999	0.052011	0.632192	1.808494	3.089107	58.54	73.90	0.00	29.87	2400	179.70	3.5221	0.7150
0.400	0.127	0.081980	0.051632	0.723564	1.304750	2.054355	63.51	78.58	0.00	34.14	2400	178.39	3.3189	0.7098
0.450	0.143	0.076006	0.050488	0.817664	0.955796	1.410885	67.74	82.57	0.00	38.40	2400	174.44	3.0771	0.6941
0.500	0.159	0.069429	0.048613	0.915420	0.707193	0.990327	71.41	85.93	0.00	42.67	2400	167.96	2.8108	0.6683
0.550	0.175	0.062632	0.046233	1.017122	0.527244	0.707619	74.51	88.73	0.00	46.94	2400	159.74	2.5356	0.6356
0.600	0.191	0.055631	0.043315	1.124148	0.393508	0.510652	77.06	91.07	0.00	51.21	2400	149.66	2.2522	0.5955
0.650	0.207	0.048424	0.039825	1.238459	0.291857	0.369282	79.03	93.02	0.00	55.47	2400	137.60	1.9604	0.5475
0.700	0.223	0.041042	0.035745	1.362868	0.213290	0.265379	80.37	94.67	0.00	59.74	2400	123.50	1.6615	0.4914
0.750	0.239	0.033482	0.031043	1.501994	0.151573	0.187380	80.89	96.06	0.00	64.01	2400	107.26	1.3555	0.4268
0.800	0.255	0.025753	0.025695	1.663875	0.102467	0.127796	80.18	97.24	0.00	68.28	2400	88.78	1.0426	0.3532
0.810	0.258	0.024188	0.024547	1.700148	0.093881	0.117619	79.82	97.45	0.00	69.13	2400	84.81	0.9793	0.3375
0.820	0.261	0.022617	0.023371	1.738117	0.085652	0.107938	79.35	97.66	0.00	69.98	2400	80.75	0.9156	0.3213
0.830	0.264	0.021040	0.022169	1.777988	0.077771	0.098731	78.77	97.86	0.00	70.84	2400	76.60	0.8518	0.3048
0.840	0.267	0.019429	0.020917	1.820458	0.070118	0.089866	78.03	98.06	0.00	71.69	2400	72.27	0.7866	0.2876
0.850	0.271	0.017856	0.019675	1.864824	0.062935	0.081581	77.14	98.25	0.00	72.54	2400	67.98	0.7229	0.2705
0.860	0.274	0.016262	0.018392	1.912381	0.055989	0.073632	76.04	98.43	0.00	73.40	2400	63.54	0.6583	0.2528
0.870	0.277	0.014666	0.017086	1.963329	0.049341	0.066071	74.68	98.61	0.00	74.25	2400	59.03	0.5937	0.2349
0.880	0.280	0.013032	0.015724	2.019161	0.042854	0.058756	72.94	98.78	0.00	75.10	2400	54.33	0.5276	0.2162
0.890	0.283	0.011429	0.014366	2.079319	0.036743	0.051894	70.80	98.95	0.00	75.96	2400	49.64	0.4627	0.1975
0.900	0.286	0.009810	0.012972	2.146045	0.030842	0.045314	68.06	99.12	0.00	76.81	2400	44.82	0.3972	0.1783
0.910	0.290	0.008189	0.011553	2.220764	0.025181	0.039040	64.50	99.27	0.00	77.66	2400	39.92	0.3315	0.1588
0.920	0.293	0.006533	0.010079	2.307292	0.019655	0.032961	59.63	99.43	0.00	78.52	2400	34.82	0.2645	0.1386
0.930	0.296	0.004907	0.008610	2.407030	0.014447	0.027258	53.00	99.58	0.00	79.37	2400	29.75	0.1987	0.1184
0.940	0.299	0.003268	0.007105	2.528239	0.009417	0.021782	43.23	99.72	0.00	80.22	2400	24.55	0.1323	0.0977
0.950	0.302	0.001614	0.005564	2.683157	0.004554	0.016526	27.56	99.87	0.00	81.08	2400	19.22	0.0653	0.0765
0.960	0.306	-0.000065	0.003975	2.900092	-0.000179	0.011440	0.00	99.99	0.00	81.93	2400	13.73	-0.0026	0.0546
0.970	0.309	-0.001706	0.002398	3.241910	-0.004617	0.006691	0.00	99.99	0.00	82.78	2400	8.29	-0.0691	0.0330
0.980	0.312	-0.003356	0.000789	4.090708	-0.008897	0.002135	0.00	99.99	0.00	83.64	2400	2.73	-0.1358	0.0108
0.990	0.315	-0.005057	-0.000893	4.031553	-0.013139	-0.002343	0.23	54.26	0.00	84.49	2400	-3.09	-0.2047	-0.0123
